date,city,rainfall
2/2/2018,桃園市,0
2/2/2018,高雄市,0
2/2/2018,基隆市,28.5
2/2/2018,連江縣,1.3
2/2/2018,雲林縣,0
2/2/2018,新北市,10
2/2/2018,新竹縣,1.5
2/2/2018,嘉義縣,0
2/2/2018,彰化縣,0
2/2/2018,臺中市,0
2/2/2018,臺北市,5.9
2/2/2018,臺東縣,0
2/2/2018,臺南市,0
2/2/2018,澎湖縣,0
2/3/2018,宜蘭縣,7.5
2/3/2018,花蓮縣,3.5
2/3/2018,金門縣,0
2/3/2018,南投縣,3
2/3/2018,屏東縣,0
2/3/2018,苗栗縣,0.5
2/3/2018,桃園市,17.5
2/3/2018,高雄市,0
2/3/2018,基隆市,38
2/3/2018,連江縣,0
2/3/2018,雲林縣,0.5
2/3/2018,新北市,32.5
2/3/2018,新竹縣,8.5
2/3/2018,嘉義縣,0.2
2/3/2018,彰化縣,0.5
2/3/2018,臺中市,1
2/3/2018,臺北市,26.5
2/3/2018,臺東縣,0
2/3/2018,臺南市,0
2/3/2018,澎湖縣,0
2/4/2018,宜蘭縣,10.1
2/4/2018,花蓮縣,1
2/4/2018,金門縣,0
2/4/2018,南投縣,0.09
2/4/2018,屏東縣,0
2/4/2018,苗栗縣,0.5
2/4/2018,桃園市,13.5
2/4/2018,高雄市,0
2/4/2018,基隆市,44
2/4/2018,連江縣,0
2/4/2018,雲林縣,0
2/4/2018,新北市,32
2/4/2018,新竹縣,5
2/4/2018,嘉義縣,0
2/4/2018,彰化縣,0
2/4/2018,臺中市,0.09
2/4/2018,臺北市,28
2/4/2018,臺東縣,0
2/4/2018,臺南市,0
2/4/2018,澎湖縣,0
2/5/2018,宜蘭縣,5.1
2/5/2018,花蓮縣,5.5
2/5/2018,金門縣,0
2/5/2018,南投縣,4.5
2/5/2018,屏東縣,0
2/5/2018,苗栗縣,0.5
2/5/2018,桃園市,13
2/5/2018,高雄市,0
2/5/2018,基隆市,25
2/5/2018,連江縣,0
2/5/2018,雲林縣,0
2/5/2018,新北市,20
2/5/2018,新竹縣,10
2/5/2018,嘉義縣,0
2/5/2018,彰化縣,0
2/5/2018,臺中市,0.09
2/5/2018,臺北市,17
2/5/2018,臺東縣,0
2/5/2018,臺南市,0
2/5/2018,澎湖縣,0
2/6/2018,宜蘭縣,0.09
2/6/2018,花蓮縣,0
2/6/2018,金門縣,0
2/6/2018,南投縣,0
2/6/2018,屏東縣,0
2/6/2018,苗栗縣,0
2/6/2018,桃園市,0
2/6/2018,高雄市,0
2/6/2018,基隆市,0
2/6/2018,連江縣,0
2/6/2018,雲林縣,0
2/6/2018,新北市,0
2/6/2018,新竹縣,0
2/6/2018,嘉義縣,0
2/6/2018,彰化縣,0
2/6/2018,臺中市,0
2/6/2018,臺北市,0.09
2/6/2018,臺東縣,0
2/6/2018,臺南市,0.09
2/6/2018,澎湖縣,0
2/7/2018,宜蘭縣,21.3
2/7/2018,花蓮縣,17
2/7/2018,金門縣,0
2/7/2018,南投縣,7.5
2/7/2018,屏東縣,0
2/7/2018,苗栗縣,4
2/7/2018,桃園市,6.5
2/7/2018,高雄市,0
2/7/2018,基隆市,38.5
2/7/2018,連江縣,0
2/7/2018,雲林縣,4
2/7/2018,新北市,15
2/7/2018,新竹縣,6.5
2/7/2018,嘉義縣,2.5
2/7/2018,彰化縣,2.5
2/7/2018,臺中市,1.5
2/7/2018,臺北市,14.5
2/7/2018,臺東縣,2
2/7/2018,臺南市,0.5
2/7/2018,澎湖縣,3
2/8/2018,宜蘭縣,14.4
2/8/2018,花蓮縣,5
2/8/2018,金門縣,0
2/8/2018,南投縣,10
2/8/2018,屏東縣,0
2/8/2018,苗栗縣,4
